n,mode,success_probability,source,publication_eligible
64,full,,REPLACE_WITH_MEASURED_SOURCE,false
64,leaf,,REPLACE_WITH_MEASURED_SOURCE,false
64,ext,,REPLACE_WITH_MEASURED_SOURCE,false
512,full,,REPLACE_WITH_MEASURED_SOURCE,false
512,leaf,,REPLACE_WITH_MEASURED_SOURCE,false
512,ext,,REPLACE_WITH_MEASURED_SOURCE,false
4096,full,,REPLACE_WITH_MEASURED_SOURCE,false
4096,leaf,,REPLACE_WITH_MEASURED_SOURCE,false
4096,ext,,REPLACE_WITH_MEASURED_SOURCE,false
16384,full,,REPLACE_WITH_MEASURED_SOURCE,false
16384,leaf,,REPLACE_WITH_MEASURED_SOURCE,false
16384,ext,,REPLACE_WITH_MEASURED_SOURCE,false
