experiment,case_id,role,platform,data_kind,status,metrics,metrics.accept_median_ms,metrics.accepted,metrics.accounting_scope,metrics.baseline_rss_bytes,metrics.canonical_envelope_overhead_bytes,metrics.cases,metrics.certificate_bytes,metrics.cpu_ms_per_query,metrics.descriptor_serialized_bytes,metrics.epoch_substitution_rejected,metrics.failures,metrics.honest,metrics.mean_json_body_bytes,metrics.measured_duration_seconds,metrics.median_ms,metrics.memory_limit_mib,metrics.mode,metrics.mode_substitution_rejected,metrics.n,metrics.n_prime,metrics.operational_total_bytes,metrics.p95_ms,metrics.p99_ms,metrics.paper_descriptor_bytes,metrics.payload_read_bytes_per_query,metrics.payload_tamper_rejected,metrics.peak_rss_bytes,metrics.pressure_buffer_bytes,metrics.provider_allocated_bytes,metrics.provider_cpu_ms_per_query,metrics.provider_file_count,metrics.provider_internal_cached_support_bytes,metrics.provider_payload_bytes,metrics.provider_support_bytes,metrics.provider_total_bytes,metrics.queries,metrics.raw_opaque_payload_bytes,metrics.root_hex_tamper_rejected,metrics.rss_bytes,metrics.setup_allocated_bytes,metrics.setup_file_count,metrics.setup_payload_bytes,metrics.setup_signing_key_bytes,metrics.setup_support_bytes,metrics.setup_total_bytes,metrics.shard_substitution_rejected,metrics.signature_hex_tamper_rejected,metrics.support_metadata_bytes,metrics.support_read_bytes_per_query,metrics.total_materialized_bytes,metrics.verifier_allocated_bytes,metrics.verifier_file_count,metrics.verifier_payload_bytes,metrics.verifier_support_bytes,metrics.verifier_total_bytes,metrics.witness_generate_median_ms,platform.architecture,platform.cpu_count,platform.hostname,platform.kernel,platform.machine_id,platform.machine_id_source,platform.mem_total_bytes,platform.network.available,platform.network.interfaces,platform.openssl,platform.os.id,platform.os.name,platform.os.pretty_name,platform.os.version,platform.os.version_id,platform.pi_model,platform.platform,platform.python,platform.python_implementation,platform.result_storage.block_device,platform.result_storage.device,platform.result_storage.filesystem,platform.result_storage.free_bytes,platform.result_storage.mountpoint,platform.result_storage.path,platform.result_storage.total_bytes,platform.result_storage.used_bytes,platform.storage.block_device,platform.storage.device,platform.storage.filesystem,platform.storage.free_bytes,platform.storage.mountpoint,platform.storage.path,platform.storage.total_bytes,platform.storage.used_bytes,provenance.cache_state,provenance.chain_id,provenance.client_machine_id,provenance.cpu_scope,provenance.dataset_sha256,provenance.dataset_source.acquired_at_utc,provenance.dataset_source.boundary_snapshots_rechecked,provenance.dataset_source.chain_id_rechecked,provenance.dataset_source.finality_basis,provenance.dataset_source.finalized_head_after.hash,provenance.dataset_source.finalized_head_after.number,provenance.dataset_source.finalized_head_after.parentHash,provenance.dataset_source.full_transactions,provenance.dataset_source.generator,provenance.dataset_source.initial_finalized_head.hash,provenance.dataset_source.initial_finalized_head.number,provenance.dataset_source.initial_finalized_head.parentHash,provenance.dataset_source.payload_encoding,provenance.dataset_source.rpc_methods,provenance.dataset_source.source,provenance.implementation,provenance.memory_limit_kind,provenance.memory_limit_mib,provenance.memory_scope,provenance.message,provenance.mode,provenance.n,provenance.native_finality_verified,provenance.network_kind,provenance.pressure_mib,provenance.profile,provenance.provider_case_id,provenance.queries,provenance.sample_count,provenance.scheme,provenance.scope,provenance.selected_count,provenance.selected_payload_sha256,provenance.selection,provenance.server_machine_id,provenance.source,provenance.storage_scope,provenance.timing_scope,provenance.transport,provenance.trial,provenance.trust_anchor,provenance.type,provenance.warmup,provenance.wire_format,provenance.workload_seed
storage,0000-synthetic-n512-full-t2-storage,hpc,,synthetic,ok,,,,"regular file lengths; allocated file blocks also reported; excludes directories, inodes, journal, and OS cache",,18432,,253,,908,,,,,,,,full,,512,512,1101397,,,126,,,,,12681216,,516,0,1067008,32736,1100489,,1048576,,,24576,1,0,32,0,32,,,174,,1101429,24576,1,0,0,908,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,,,,,,full,512,False,unspecified,,paper,,,,,,512,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,logical role ownership; experiment fixtures and setup reported separately,,local,2,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
provider,0000-synthetic-n512-full-t2-provider,provider,,synthetic,ok,,,,,,,,,,,,,,,,6.308451,,,,,,,6.95403475,,,2084.0,,,,,0.3341420625,,,,,,16,,,,,,,,,,,,,288.0,,,,,,,2.4971845,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,,,,,,full,512,False,unspecified,,paper,,,16,,,512,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,proof_fixture_preparation,logical role ownership; experiment fixtures and setup reported separately,payload/support read and proof construction; JSON serialization and network excluded,local,2,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
local,0000-synthetic-n512-full-t2-local,hpc,,synthetic,ok,,0.1710875,200,,22716416,,,,0.170926375,,,,,0,0.294709417,0.17154350000000002,0,,,,,,0.1761497,0.18265220999999998,,,,111513600,0,,,,,,,,200,,,23109632,,,,,,,,,,,,,,,,,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,verifier acceptance CPU only,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,persistent_adapter_original_crypto,none,0,"fresh worker, one live response, optional pressure buffer; fixtures excluded",,full,512,False,unspecified,0,paper,,,,,,512,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,pool,logical role ownership; experiment fixtures and setup reported separately,pre-delivered response acceptance only,local,2,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
memory_pressure,0000-synthetic-n512-full-t2-memory_pressure,hpc,,synthetic,ok,,0.170884,200,,89804800,,,,0.17071742499999998,,,,,0,0.293733436,0.17131200000000002,256,,,,,,0.1757613,0.187963,,,,111513600,67108864,,,,,,,,200,,,89804800,,,,,,,,,,,,,,,,,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,verifier acceptance CPU only,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,persistent_adapter_original_crypto,RLIMIT_AS virtual address space,256,"fresh worker, one live response, optional pressure buffer; fixtures excluded",,full,512,False,unspecified,64,paper,,,,,,512,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,pool,logical role ownership; experiment fixtures and setup reported separately,pre-delivered response acceptance only,local,2,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
integrity,0000-synthetic-n512-full-t2-integrity,hpc,,synthetic,ok,,,,,,,7,,,,True,0,True,,,,,,True,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,True,True,,,,,,,,,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,,,,,,full,512,False,unspecified,,paper,,,,,"finite adversarial regression cases, not a cryptographic security bound",512,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,logical role ownership; experiment fixtures and setup reported separately,,local,2,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
storage,0001-synthetic-n4096-ext_cached-t1-storage,hpc,,synthetic,ok,,,,"regular file lengths; allocated file blocks also reported; excludes directories, inodes, journal, and OS cache",,147456,,253,,919,,,,,,,,ext_cached,,4096,4096,8799863,,,126,,,,,100761600,,4100,262112,8536064,262112,8798944,,8388608,,,24576,1,0,32,0,32,,,189,,8799895,24576,1,0,0,919,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,,,,,,ext_cached,4096,False,unspecified,,paper,,,,,,4096,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,logical role ownership; experiment fixtures and setup reported separately,,local,1,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
provider,0001-synthetic-n4096-ext_cached-t1-provider,provider,,synthetic,ok,,,,,,,,,,,,,,,,6.584841,,,,,,,7.3391255,,,2084.0,,,,,0.3473256875,,,,,,16,,,,,,,,,,,,,384.0,,,,,,,2.619871,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,,,,,,ext_cached,4096,False,unspecified,,paper,,,16,,,4096,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,proof_fixture_preparation,logical role ownership; experiment fixtures and setup reported separately,payload/support read and proof construction; JSON serialization and network excluded,local,1,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
local,0001-synthetic-n4096-ext_cached-t1-local,hpc,,synthetic,ok,,0.17554399999999998,200,,22765568,,,,0.175651375,,,,,0,0.313635143,0.1760715,0,,,,,,0.1802709,0.1873648299999994,,,,120139776,0,,,,,,,,200,,,23158784,,,,,,,,,,,,,,,,,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,verifier acceptance CPU only,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,persistent_adapter_original_crypto,none,0,"fresh worker, one live response, optional pressure buffer; fixtures excluded",,ext_cached,4096,False,unspecified,0,paper,,,,,,4096,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,pool,logical role ownership; experiment fixtures and setup reported separately,pre-delivered response acceptance only,local,1,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
memory_pressure,0001-synthetic-n4096-ext_cached-t1-memory_pressure,hpc,,synthetic,ok,,0.175431,200,,90009600,,,,0.17656254000000002,,,,,0,0.300406063,0.1758115,256,,,,,,0.18028544999999999,0.22601365999999928,,,,120139776,67108864,,,,,,,,200,,,90009600,,,,,,,,,,,,,,,,,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,verifier acceptance CPU only,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,persistent_adapter_original_crypto,RLIMIT_AS virtual address space,256,"fresh worker, one live response, optional pressure buffer; fixtures excluded",,ext_cached,4096,False,unspecified,64,paper,,,,,,4096,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,pool,logical role ownership; experiment fixtures and setup reported separately,pre-delivered response acceptance only,local,1,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
integrity,0001-synthetic-n4096-ext_cached-t1-integrity,hpc,,synthetic,ok,,,,,,,7,,,,True,0,True,,,,,,True,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,True,True,,,,,,,,,,x86_64,96,ltu-hpc-2.latrobe.edu.au,4.18.0-553.120.1.el8_10.x86_64,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,linux_machine_id_sha256,403783344128,True,"[{""is_wireless"": false, ""name"": ""enp63s0"", ""operstate"": ""up""}, {""is_wireless"": false, ""name"": ""lo"", ""operstate"": ""unknown""}]",OpenSSL 1.1.1k  FIPS 25 Mar 2021,rhel,Red Hat Enterprise Linux,Red Hat Enterprise Linux 8.10 (Ootpa),8.10 (Ootpa),8.10,,Linux,3.11.5,CPython,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite/outputs/hpc_real_422173,536870912000,4267704320,,,nfs4,532603207680,/data/group,/data/group/xulab/home/zxu/msi_pi_suite,536870912000,4267704320,OS page cache uncontrolled; warm query repetition; no cold-flash claim,,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,b016c29f4de90f5b1cf3a216da5a605c33b87f5b41cbb2b6bd5568949c797cef,,,,,,,,,sha256-counter-v1,,,,,,synthetic,,,,,,ext_cached,4096,False,unspecified,,paper,,,,,"finite adversarial regression cases, not a cryptographic security bound",4096,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,contiguous prefix,fd4458b75367f59ff7c09494ea573e5e7a5263a2584218cc99f37f023a3aa2d8,,logical role ownership; experiment fixtures and setup reported separately,,local,1,experiment-generated Ed25519 descriptor provisioned at setup,,,json proof fixture,
