n,data_kind,mode,verifier_total_KiB,verifier_support_KiB,provider_payload_KiB,provider_support_KiB,provider_total_KiB,operational_role_total_KiB,Pi_Ethernet2_provider_cpu_ms_per_query_median,Pi_Ethernet2_provider_cpu_ms_per_query_min,Pi_Ethernet2_provider_cpu_ms_per_query_max,Pi_Ethernet2_median_ms_median,Pi_Ethernet2_median_ms_min,Pi_Ethernet2_median_ms_max,Pi_Ethernet2_payload_read_bytes_per_query_median,Pi_Ethernet2_payload_read_bytes_per_query_min,Pi_Ethernet2_payload_read_bytes_per_query_max,Pi_Ethernet2_support_read_bytes_per_query_median,Pi_Ethernet2_support_read_bytes_per_query_min,Pi_Ethernet2_support_read_bytes_per_query_max,Pi_Ethernet2_rss_bytes_median,Pi_Ethernet2_rss_bytes_min,Pi_Ethernet2_rss_bytes_max,Pi_WiFi_provider_cpu_ms_per_query_median,Pi_WiFi_provider_cpu_ms_per_query_min,Pi_WiFi_provider_cpu_ms_per_query_max,Pi_WiFi_median_ms_median,Pi_WiFi_median_ms_min,Pi_WiFi_median_ms_max,Pi_WiFi_payload_read_bytes_per_query_median,Pi_WiFi_payload_read_bytes_per_query_min,Pi_WiFi_payload_read_bytes_per_query_max,Pi_WiFi_support_read_bytes_per_query_median,Pi_WiFi_support_read_bytes_per_query_min,Pi_WiFi_support_read_bytes_per_query_max,Pi_WiFi_rss_bytes_median,Pi_WiFi_rss_bytes_min,Pi_WiFi_rss_bytes_max,provider_cpu_scope
512,synthetic,archive,1075.58984375,31.96875,0.0,0.0,0.0,1075.58984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not applicable: archive is local
512,synthetic,full,0.8876953125,0.0,1042.0,31.96875,1074.6962890625,1075.583984375,1.3570154950000002,1.348575125,1.516836955,1.3602495000000001,1.353879,1.3721204999999999,2084.0,2084.0,2084.0,288.0,288.0,288.0,116867072,29396992,117514240,2.5027328349999998,2.49638997,2.52646407,2.5419929999999997,2.4266415,2.5684365,2084.0,2084.0,2084.0,288.0,288.0,288.0,137768960,135933952,138809344,median of five trial mean thread CPU times
512,synthetic,leaf,0.8896484375,0.0,1042.0,16.0,1058.6787109375,1059.568359375,1.87917143,1.79460247,2.689726605,1.73729,1.6997825,2.65487,2084.0,2084.0,2084.0,16384.0,16384.0,16384.0,116150272,116150272,117514240,3.130859665,3.0209377400000004,3.218001695,3.211234,2.9376075000000004,3.2847125,2084.0,2084.0,2084.0,16384.0,16384.0,16384.0,137240576,137240576,138809344,median of five trial mean thread CPU times
512,synthetic,ext_cached,0.8935546875,0.0,1042.0,31.96875,1074.7021484375,1075.595703125,1.36195306,1.348854085,1.52688956,1.3551205,1.345352,1.3813145,2084.0,2084.0,2084.0,288.0,288.0,288.0,116150272,115232768,117514240,2.501423915,2.46386979,2.5700622799999997,2.4223645,2.3849915,2.5750105000000003,2084.0,2084.0,2084.0,288.0,288.0,288.0,137592832,136654848,138809344,median of five trial mean thread CPU times
512,synthetic,ext_rebuild,0.8876953125,0.0,1042.0,0.0,1042.5576171875,1043.4453125,76.232308845,76.00619257,76.33097052500001,76.0202525,75.79425549999999,76.09006550000001,1067008.0,1067008.0,1067008.0,0.0,0.0,0.0,116150272,116150272,117317632,77.917898605,77.666700175,78.072303975,77.42276799999999,77.26418100000001,77.6864435,1067008.0,1067008.0,1067008.0,0.0,0.0,0.0,137592832,137592832,137768960,median of five trial mean thread CPU times
4096,synthetic,archive,8593.611328125,255.96875,0.0,0.0,0.0,8593.611328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not applicable: archive is local
4096,synthetic,full,0.892578125,0.0,8336.0,255.96875,8592.712890625,8593.60546875,1.4032703899999999,1.39607098,1.4164684550000002,1.401185,1.3929705000000001,1.4140920000000001,2084.0,2084.0,2084.0,384.0,384.0,384.0,115232768,115183616,117317632,2.55866066,2.52433691,2.59766442,2.4671775,2.4632765,2.6264015,2084.0,2084.0,2084.0,384.0,384.0,384.0,136654848,136519680,137768960,median of five trial mean thread CPU times
4096,synthetic,leaf,0.89453125,0.0,8336.0,128.0,8464.681640625,8465.576171875,8.260789684999999,8.004910605000001,8.442006894999999,8.429876,8.328497500000001,8.702021,2084.0,2084.0,2084.0,131072.0,131072.0,131072.0,115232768,115232768,117317632,9.093606880000001,8.815336465,9.326396710000001,9.0883185,8.986561,9.848758,2084.0,2084.0,2084.0,131072.0,131072.0,131072.0,136654848,136654848,137768960,median of five trial mean thread CPU times
4096,synthetic,ext_cached,0.8984375,0.0,8336.0,255.96875,8592.71875,8593.6171875,1.41433317,1.397322675,1.576688895,1.4099705,1.3867665,1.4113419999999999,2084.0,2084.0,2084.0,384.0,384.0,384.0,117317632,50839552,117514240,2.574750455,2.508214095,2.605521955,2.4829749999999997,2.4767799999999998,2.6415344999999997,2084.0,2084.0,2084.0,384.0,384.0,384.0,137768960,135933952,138809344,median of five trial mean thread CPU times
4096,synthetic,ext_rebuild,0.892578125,0.0,8336.0,0.0,8336.5595703125,8337.4521484375,599.5989443999999,597.61927519,602.173129045,599.5019475,597.4794995,602.26594,8536064.0,8536064.0,8536064.0,0.0,0.0,0.0,115232768,115232768,116867072,609.22025097,606.87511315,611.33866433,609.1223575,606.236229,611.105004,8536064.0,8536064.0,8536064.0,0.0,0.0,0.0,136654848,136654848,137768960,median of five trial mean thread CPU times
