run,transition,fault,replicates_at_this_fault,recovery_ms,status,case_wall_ms,expected_active_mode,actual_active_mode,child_exit_code,journals_found,temporary_metadata_files,unreferenced_target_objects_cleaned,pre_audit_positions,post_audit_positions
Pi_Ethernet2,full->leaf,crash_after_root_verify,1,8.644669,PASS,444.066304,full,full,81,0,0,0,512,512
Pi_Ethernet2,full->leaf,crash_after_target_create,1,9.076349,PASS,456.493621,full,full,82,0,0,1,512,512
Pi_Ethernet2,full->leaf,crash_before_metadata_swap,1,9.010831,PASS,471.34981,full,full,83,1,0,1,512,512
Pi_Ethernet2,full->leaf,crash_during_metadata_write,1,9.211976,PASS,475.225401,full,full,86,1,1,1,512,512
Pi_Ethernet2,full->leaf,crash_after_metadata_swap,1,8.77002,PASS,556.509951,leaf,leaf,87,1,0,0,512,512
Pi_Ethernet2,leaf->full,crash_after_root_verify,1,7.457613,PASS,586.83563,leaf,leaf,81,0,0,0,512,512
Pi_Ethernet2,leaf->full,crash_after_target_create,1,7.985049,PASS,592.227014,leaf,leaf,82,0,0,1,512,512
Pi_Ethernet2,leaf->full,crash_before_metadata_swap,1,8.134492,PASS,607.331938,leaf,leaf,83,1,0,1,512,512
Pi_Ethernet2,leaf->full,crash_during_metadata_write,1,8.091512,PASS,614.876752,leaf,leaf,86,1,1,1,512,512
Pi_Ethernet2,leaf->full,crash_after_metadata_swap,1,8.299915,PASS,547.108133,full,full,87,1,0,0,512,512
Pi_Ethernet2,full->ext,crash_after_root_verify,1,8.59593,PASS,445.032938,full,full,81,0,0,0,512,512
Pi_Ethernet2,full->ext,crash_after_target_create,1,8.945054,PASS,457.003261,full,full,82,0,0,1,512,512
Pi_Ethernet2,full->ext,crash_before_metadata_swap,1,9.113644,PASS,466.942375,full,full,83,1,0,1,512,512
Pi_Ethernet2,full->ext,crash_during_metadata_write,1,9.141866,PASS,469.949533,full,full,86,1,1,1,512,512
Pi_Ethernet2,full->ext,crash_after_metadata_swap,1,9.081645,PASS,479.195377,ext,ext,87,1,0,0,512,512
Pi_Ethernet2,leaf->ext,crash_after_root_verify,1,7.375503,PASS,583.540193,leaf,leaf,81,0,0,0,512,512
Pi_Ethernet2,leaf->ext,crash_after_target_create,1,7.891088,PASS,595.033615,leaf,leaf,82,0,0,1,512,512
Pi_Ethernet2,leaf->ext,crash_before_metadata_swap,1,8.080178,PASS,606.103673,leaf,leaf,83,1,0,1,512,512
Pi_Ethernet2,leaf->ext,crash_during_metadata_write,1,8.084603,PASS,615.583754,leaf,leaf,86,1,1,1,512,512
Pi_Ethernet2,leaf->ext,crash_after_metadata_swap,1,8.500764,PASS,551.526639,ext,ext,87,1,0,0,512,512
Pi_Ethernet2,ext->leaf,crash_after_root_verify,1,8.898054,PASS,505.419403,ext,ext,81,0,0,0,512,512
Pi_Ethernet2,ext->leaf,crash_after_target_create,1,9.146828,PASS,510.991153,ext,ext,82,0,0,1,512,512
Pi_Ethernet2,ext->leaf,crash_before_metadata_swap,1,9.167976,PASS,523.837538,ext,ext,83,1,0,1,512,512
Pi_Ethernet2,ext->leaf,crash_during_metadata_write,1,9.330974,PASS,530.551567,ext,ext,86,1,1,1,512,512
