group_id,experiment,role,machine_id,pi_model,architecture,hostname,data_kind,mode,scheme,n,implementation,source,network_kind,memory_limit_mib,pressure_mib,dataset_identity,profile,workload_seed,queries,warmup,n_trials,duplicate_trials_excluded,conflicting_trials_excluded,warnings,accept_median_ms_count,accept_median_ms_max,accept_median_ms_median,accept_median_ms_min,accepted_count,accepted_max,accepted_median,accepted_min,baseline_rss_bytes_count,baseline_rss_bytes_max,baseline_rss_bytes_median,baseline_rss_bytes_min,canonical_envelope_overhead_bytes_count,canonical_envelope_overhead_bytes_max,canonical_envelope_overhead_bytes_median,canonical_envelope_overhead_bytes_min,certificate_bytes_count,certificate_bytes_max,certificate_bytes_median,certificate_bytes_min,cpu_ms_per_query_count,cpu_ms_per_query_max,cpu_ms_per_query_median,cpu_ms_per_query_min,descriptor_serialized_bytes_count,descriptor_serialized_bytes_max,descriptor_serialized_bytes_median,descriptor_serialized_bytes_min,mean_json_body_bytes_count,mean_json_body_bytes_max,mean_json_body_bytes_median,mean_json_body_bytes_min,measured_duration_seconds_count,measured_duration_seconds_max,measured_duration_seconds_median,measured_duration_seconds_min,median_ms_count,median_ms_max,median_ms_median,median_ms_min,memory_limit_mib_count,memory_limit_mib_max,memory_limit_mib_median,memory_limit_mib_min,n_count,n_max,n_median,n_min,n_prime_count,n_prime_max,n_prime_median,n_prime_min,operational_total_bytes_count,operational_total_bytes_max,operational_total_bytes_median,operational_total_bytes_min,p95_ms_count,p95_ms_max,p95_ms_median,p95_ms_min,p99_ms_count,p99_ms_max,p99_ms_median,p99_ms_min,paper_descriptor_bytes_count,paper_descriptor_bytes_max,paper_descriptor_bytes_median,paper_descriptor_bytes_min,payload_read_bytes_per_query_count,payload_read_bytes_per_query_max,payload_read_bytes_per_query_median,payload_read_bytes_per_query_min,peak_rss_bytes_count,peak_rss_bytes_max,peak_rss_bytes_median,peak_rss_bytes_min,physical_case_bytes_on_provider_device_count,physical_case_bytes_on_provider_device_max,physical_case_bytes_on_provider_device_median,physical_case_bytes_on_provider_device_min,physical_deployed_case_total_bytes_count,physical_deployed_case_total_bytes_max,physical_deployed_case_total_bytes_median,physical_deployed_case_total_bytes_min,physical_descriptor_bytes_on_verifier_device_count,physical_descriptor_bytes_on_verifier_device_max,physical_descriptor_bytes_on_verifier_device_median,physical_descriptor_bytes_on_verifier_device_min,pressure_buffer_bytes_count,pressure_buffer_bytes_max,pressure_buffer_bytes_median,pressure_buffer_bytes_min,provider_allocated_bytes_count,provider_allocated_bytes_max,provider_allocated_bytes_median,provider_allocated_bytes_min,provider_cpu_ms_per_query_count,provider_cpu_ms_per_query_max,provider_cpu_ms_per_query_median,provider_cpu_ms_per_query_min,provider_file_count_count,provider_file_count_max,provider_file_count_median,provider_file_count_min,provider_internal_cached_support_bytes_count,provider_internal_cached_support_bytes_max,provider_internal_cached_support_bytes_median,provider_internal_cached_support_bytes_min,provider_payload_bytes_count,provider_payload_bytes_max,provider_payload_bytes_median,provider_payload_bytes_min,provider_setup_descriptor_replica_bytes_count,provider_setup_descriptor_replica_bytes_max,provider_setup_descriptor_replica_bytes_median,provider_setup_descriptor_replica_bytes_min,provider_support_bytes_count,provider_support_bytes_max,provider_support_bytes_median,provider_support_bytes_min,provider_total_bytes_count,provider_total_bytes_max,provider_total_bytes_median,provider_total_bytes_min,queries_count,queries_max,queries_median,queries_min,raw_opaque_payload_bytes_count,raw_opaque_payload_bytes_max,raw_opaque_payload_bytes_median,raw_opaque_payload_bytes_min,rss_bytes_count,rss_bytes_max,rss_bytes_median,rss_bytes_min,setup_allocated_bytes_count,setup_allocated_bytes_max,setup_allocated_bytes_median,setup_allocated_bytes_min,setup_file_count_count,setup_file_count_max,setup_file_count_median,setup_file_count_min,setup_payload_bytes_count,setup_payload_bytes_max,setup_payload_bytes_median,setup_payload_bytes_min,setup_signing_key_bytes_count,setup_signing_key_bytes_max,setup_signing_key_bytes_median,setup_signing_key_bytes_min,setup_support_bytes_count,setup_support_bytes_max,setup_support_bytes_median,setup_support_bytes_min,setup_total_bytes_count,setup_total_bytes_max,setup_total_bytes_median,setup_total_bytes_min,support_metadata_bytes_count,support_metadata_bytes_max,support_metadata_bytes_median,support_metadata_bytes_min,support_read_bytes_per_query_count,support_read_bytes_per_query_max,support_read_bytes_per_query_median,support_read_bytes_per_query_min,total_materialized_bytes_count,total_materialized_bytes_max,total_materialized_bytes_median,total_materialized_bytes_min,verifier_allocated_bytes_count,verifier_allocated_bytes_max,verifier_allocated_bytes_median,verifier_allocated_bytes_min,verifier_file_count_count,verifier_file_count_max,verifier_file_count_median,verifier_file_count_min,verifier_payload_bytes_count,verifier_payload_bytes_max,verifier_payload_bytes_median,verifier_payload_bytes_min,verifier_support_bytes_count,verifier_support_bytes_max,verifier_support_bytes_median,verifier_support_bytes_min,verifier_total_bytes_count,verifier_total_bytes_max,verifier_total_bytes_median,verifier_total_bytes_min,witness_generate_median_ms_count,witness_generate_median_ms_max,witness_generate_median_ms_median,witness_generate_median_ms_min
5c99f74cfa318e4f,archive_retrieval,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,archive,,69,persistent_adapter_original_crypto,archive_disk,wifi,0,0,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.453158,10.2368095,9.362234,5,200,200,200,5,25133056,25128960,25116672,,,,,,,,,5,10.97145179,10.875827289999998,10.1977364,,,,,5,0,0,0,5,3.851099527,3.816665827,3.60758512,5,17.8819645,17.493478,16.615758,5,0,0,0,,,,,,,,,,,,,5,36.83123875,35.4388121,33.80031505,5,37.24353285,35.61272322,33.960569629999995,,,,,,,,,5,289464320,282640384,280739840,,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,31551488,29073408,28610560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a554877c93d53bc6,local,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,archive,,69,persistent_adapter_original_crypto,pool,wifi,0,0,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.4257505,10.302864,9.3998725,5,200,200,200,5,25145344,25145344,25133056,,,,,,,,,5,11.092846804999999,11.033599664999999,10.22151339,,,,,5,0,0,0,5,2.934695605,2.916649297,2.650036199,5,10.429556,10.306836,9.4036965,5,0,0,0,,,,,,,,,,,,,5,21.73572055,21.09102635,18.932085700000002,5,21.833593630000003,21.15251118,19.02627295,,,,,,,,,5,289464320,282640384,280739840,,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,30412800,28438528,28033024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09354361fd71b777,local,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,ext_cached,,69,persistent_adapter_original_crypto,pool,wifi,0,0,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.4747255,10.263393,9.2860865,5,200,200,200,5,25145344,25141248,25128960,,,,,,,,,5,11.119566240000001,11.053558135,10.16629922,,,,,5,0,0,0,5,2.949631322,2.925838692,2.644399059,5,10.4789755,10.267873999999999,9.289548499999999,5,0,0,0,,,,,,,,,,,,,5,21.8036982,21.0688692,19.027584,5,21.92099912,21.14316307,19.092095590000003,,,,,,,,,5,289464320,280739840,278110208,,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,30408704,28434432,28033024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f81acb72ee5d2a5,local,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,ext_rebuild,,69,persistent_adapter_original_crypto,pool,wifi,0,0,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.4615915,10.276215,9.2678125,5,200,200,200,5,25145344,25145344,25137152,,,,,,,,,5,11.134841130000002,11.063257380000001,10.14983448,,,,,5,0,0,0,5,2.951901203,2.928014512,2.638271174,5,10.4653685,10.281086,9.270783999999999,5,0,0,0,,,,,,,,,,,,,5,21.748202900000003,21.123291299999998,18.8048195,5,21.85135592,21.205893939999996,18.87293845,,,,,,,,,5,289464320,280739840,280317952,,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,30429184,28426240,28033024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42aa352dfbace55e,local,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,full,,69,persistent_adapter_original_crypto,pool,wifi,0,0,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.795275,10.254496,9.3075855,5,200,200,200,5,25141248,25137152,25133056,,,,,,,,,5,11.11081989,11.07334608,10.229860154999999,,,,,5,0,0,0,5,2.941520166,2.923162896,2.65863507,5,10.7987285,10.2585985,9.3110945,5,0,0,0,,,,,,,,,,,,,5,21.6579651,21.05951315,19.056211649999998,5,21.755920959999997,21.1617113,19.10894729,,,,,,,,,5,286908416,280739840,261947392,,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,30425088,28422144,28016640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639e4c9ebd4e8ee8,local,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,leaf,,69,persistent_adapter_original_crypto,pool,wifi,0,0,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,11.383700000000001,11.022576,10.0457435,5,200,200,200,5,25141248,25137152,25124864,,,,,,,,,5,11.908693119999999,11.73120802,10.939177695,,,,,5,0,0,0,5,3.114828437,3.071671993,2.812992601,5,11.3884585,11.025974000000001,10.049169,5,0,0,0,,,,,,,,,,,,,5,22.43250485,21.82497575,19.63010185,5,22.668328069999998,21.92011063,19.77154752,,,,,,,,,5,289464320,283791360,280739840,,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,30490624,28635136,28139520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d20ff1b7d114e9f,memory_pressure,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,ext_cached,,69,persistent_adapter_original_crypto,pool,wifi,256,64,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.4758365,10.2424865,9.3647515,5,200,200,200,5,92246016,92241920,92233728,,,,,,,,,5,11.124798655,11.048406810000001,10.21638617,,,,,5,0,0,0,5,2.945389164,2.919867227,2.656514305,5,10.4801885,10.245875,9.3682785,5,256,256,256,,,,,,,,,,,,,5,21.80152535,21.3033814,19.0291809,5,21.90387132,21.35202863,19.10757551,,,,,,,,,5,289464320,280739840,278110208,,,,,,,,,,,,,5,67108864,67108864,67108864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,97533952,95539200,95141888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060c64b0409059a0,memory_pressure,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,ext_rebuild,,69,persistent_adapter_original_crypto,pool,wifi,256,64,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.432906,10.233624,9.3564405,5,200,200,200,5,92250112,92246016,92241920,,,,,,,,,5,11.08282582,11.018718269999999,10.233756525,,,,,5,0,0,0,5,2.935470991,2.911096707,2.655632535,5,10.436406,10.237281,9.3597645,5,256,256,256,,,,,,,,,,,,,5,21.51371885,20.999749400000002,19.0277877,5,21.584159919999998,21.052352629999998,19.07748673,,,,,,,,,5,289464320,280739840,280317952,,,,,,,,,,,,,5,67108864,67108864,67108864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,97529856,95539200,95145984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a6f71ac5f4b7011,memory_pressure,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,full,,69,persistent_adapter_original_crypto,pool,wifi,256,64,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,10.4534555,10.249302,9.332862500000001,5,200,200,200,5,92233728,92233728,92225536,,,,,,,,,5,11.11843195,11.04649644,10.23082005,,,,,5,0,0,0,5,2.943212737,2.926230196,2.655444174,5,10.4569735,10.253746,9.336417999999998,5,256,256,256,,,,,,,,,,,,,5,21.7322244,21.020041999999997,18.98490885,5,21.8840389,21.12509592,19.11041252,,,,,,,,,5,286908416,280739840,261947392,,,,,,,,,,,,,5,67108864,67108864,67108864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,97533952,95539200,95145984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11d0a918f24555f8,memory_pressure,pi-verifier,f8c5ed94511a0d7f7b74e6e55a8499bd265b7cfbe00e6c3af4400223a99102c0,Raspberry Pi 4 Model B Rev 1.4,aarch64,msi-pi-a,ethereum_rpc_finalized_json,leaf,,69,persistent_adapter_original_crypto,pool,wifi,256,64,selected_payload_sha256:b30fd288c6fd25990944a24194c89dc578c58e3c230cc8ec278c49dc890c3c38,paper,2026,200,20,5,0,0,[],5,11.501781000000001,11.050426999999999,10.2577865,5,200,200,200,5,92233728,92233728,92225536,,,,,,,,,5,11.899678215,11.73115718,10.996320585000001,,,,,5,0,0,0,5,3.107710714,3.066283611,2.828407135,5,11.5050495,11.053844,10.262193499999999,5,256,256,256,,,,,,,,,,,,,5,22.362815899999998,20.9343435,19.78297475,5,22.47231296,20.989076849999996,19.84216011,,,,,,,,,5,289464320,283791360,280739840,,,,,,,,,,,,,5,67108864,67108864,67108864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,200,200,200,,,,,5,97460224,95473664,95211520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
