data_kind,n,mode,HPC_local_median_ms_median,HPC_local_median_ms_min,HPC_local_median_ms_max,HPC_local_p95_ms_median,HPC_local_p95_ms_min,HPC_local_p95_ms_max,HPC_local_accept_cpu_mean_ms_median,HPC_local_accept_cpu_mean_ms_min,HPC_local_accept_cpu_mean_ms_max,HPC_local_rss_after_MiB_median,HPC_local_rss_after_MiB_min,HPC_local_rss_after_MiB_max,Pi_Ethernet_local_median_ms_median,Pi_Ethernet_local_median_ms_min,Pi_Ethernet_local_median_ms_max,Pi_Ethernet_local_p95_ms_median,Pi_Ethernet_local_p95_ms_min,Pi_Ethernet_local_p95_ms_max,Pi_Ethernet_local_accept_cpu_mean_ms_median,Pi_Ethernet_local_accept_cpu_mean_ms_min,Pi_Ethernet_local_accept_cpu_mean_ms_max,Pi_Ethernet_local_rss_after_MiB_median,Pi_Ethernet_local_rss_after_MiB_min,Pi_Ethernet_local_rss_after_MiB_max,Pi_Ethernet_retrieval_scope,Pi_Ethernet_retrieval_median_ms_median,Pi_Ethernet_retrieval_median_ms_min,Pi_Ethernet_retrieval_median_ms_max,Pi_Ethernet_retrieval_p95_ms_median,Pi_Ethernet_retrieval_p95_ms_min,Pi_Ethernet_retrieval_p95_ms_max,Pi_Ethernet_retrieval_accept_cpu_mean_ms_median,Pi_Ethernet_retrieval_accept_cpu_mean_ms_min,Pi_Ethernet_retrieval_accept_cpu_mean_ms_max,Pi_Ethernet_retrieval_rss_after_MiB_median,Pi_Ethernet_retrieval_rss_after_MiB_min,Pi_Ethernet_retrieval_rss_after_MiB_max,Pi_WiFi_local_median_ms_median,Pi_WiFi_local_median_ms_min,Pi_WiFi_local_median_ms_max,Pi_WiFi_local_p95_ms_median,Pi_WiFi_local_p95_ms_min,Pi_WiFi_local_p95_ms_max,Pi_WiFi_local_accept_cpu_mean_ms_median,Pi_WiFi_local_accept_cpu_mean_ms_min,Pi_WiFi_local_accept_cpu_mean_ms_max,Pi_WiFi_local_rss_after_MiB_median,Pi_WiFi_local_rss_after_MiB_min,Pi_WiFi_local_rss_after_MiB_max,Pi_WiFi_retrieval_scope,Pi_WiFi_retrieval_median_ms_median,Pi_WiFi_retrieval_median_ms_min,Pi_WiFi_retrieval_median_ms_max,Pi_WiFi_retrieval_p95_ms_median,Pi_WiFi_retrieval_p95_ms_min,Pi_WiFi_retrieval_p95_ms_max,Pi_WiFi_retrieval_accept_cpu_mean_ms_median,Pi_WiFi_retrieval_accept_cpu_mean_ms_min,Pi_WiFi_retrieval_accept_cpu_mean_ms_max,Pi_WiFi_retrieval_rss_after_MiB_median,Pi_WiFi_retrieval_rss_after_MiB_min,Pi_WiFi_retrieval_rss_after_MiB_max
synthetic,512,archive,0.1727305,0.172148,0.174141,0.1772734,0.17631405,0.1821832,0.171901725,0.171298945,0.173644155,22.0546875,21.83984375,22.140625,0.531954,0.5265655,0.5351589999999999,0.5588546,0.5517373499999999,0.59824955,0.53192742,0.526215755,0.540139985,24.31640625,24.30859375,24.32421875,archive_retrieval,1.6096215,1.5977234999999999,1.6314635000000002,1.68066315,1.65864455,1.6877564,0.56232417,0.5599814,0.566976635,24.61328125,24.609375,24.6171875,0.5321400000000001,0.527427,0.5376125,0.56212655,0.55646975,0.5892809999999998,0.53235297,0.52687035,0.54107692,24.328125,24.32421875,24.328125,archive_retrieval,1.6057510000000002,1.5916875,1.6263725,1.6665037999999999,1.64340845,1.68316955,0.56317749,0.55805994,0.56439307,24.60546875,24.5859375,24.6171875
synthetic,512,full,0.17254799999999998,0.17132750000000002,0.17458849999999998,0.1768194,0.17514115,0.1948183,0.17182849,0.170477615,0.174585305,22.1015625,22.05078125,22.1484375,0.5324905,0.529992,0.541065,0.56191615,0.5564953,0.602173,0.533356685,0.53099868,0.540499615,24.32421875,24.30859375,24.33203125,network,3.936148,3.931325,3.9552769999999997,4.06116155,3.99950925,7.732182149999999,0.624295705,0.61781319,0.62963863,25.1875,25.18359375,25.1875,0.5332785,0.526038,0.5432515,0.5602296499999999,0.5554396500000001,0.56891245,0.531763475,0.52606042,0.54229748,24.33203125,24.3046875,24.33203125,network,14.846947,14.681025,14.982149,17.486234,17.25748575,19.971186849999995,0.659020035,0.65822835,0.66332797,25.1875,25.16796875,25.1875
synthetic,512,leaf,0.8188165,0.8163210000000001,0.8644164999999999,0.82352935,0.8210709,0.9018732999999999,0.815198805,0.813064545,0.85268379,22.48828125,22.27734375,22.53515625,3.2821225,3.2556969999999996,3.318732,3.3358354,3.30075555,3.3691801,3.279032565,3.24899741,3.313418145,24.66796875,24.65234375,24.671875,network,10.7828235,10.6935365,12.43338,12.44991345,10.991733499999999,12.812031999999999,3.392715655,3.373413885,3.47415626,25.4609375,25.453125,25.46875,3.3020414999999996,3.267496,3.3320685,3.3449314,3.32359845,3.3896005,3.293806315,3.263152645,3.32915929,24.6640625,24.66015625,24.66796875,network,21.301620999999997,19.8229325,21.7005015,24.69871595,22.5210723,26.205952399999997,3.435819005,3.41755101,3.46257063,25.47265625,25.45703125,25.47265625
synthetic,512,ext_cached,0.1741185,0.1713945,0.17459,0.1814834,0.17835485,0.19111859999999994,0.173632525,0.171312295,0.174581675,22.0546875,21.77734375,22.14453125,0.5318335000000001,0.5285655,0.5395110000000001,0.5594155999999999,0.5543629,0.5862981999999998,0.53141432,0.527753425,0.540824395,24.328125,24.32421875,24.33203125,network,3.949259,3.9113615,3.985293,4.0538346,4.003741600000001,6.3307434,0.627293025,0.618040375,0.633600445,25.18359375,25.18359375,25.19140625,0.5262880000000001,0.5226865,0.5334635,0.55277135,0.5486534000000001,0.5648721,0.525828615,0.52207013,0.533529435,24.31640625,24.3046875,24.33203125,network,14.6838495,14.589672,15.763739000000001,17.324532149999996,17.241688749999994,18.774230899999996,0.658292215,0.653197305,0.66004804,25.1953125,25.19140625,25.1953125
synthetic,512,ext_rebuild,0.171989,0.1708395,0.172908,0.17636734999999998,0.1759732,0.17762055,0.17107214,0.17029515,0.172134875,22.078125,21.97265625,22.1015625,0.5305835,0.529315,0.539454,0.55909745,0.5568706999999999,0.58271525,0.530733855,0.52973824,0.53901247,24.328125,24.3203125,24.33203125,network,78.74995799999999,78.517417,78.802621,79.53051710000001,79.1003446,79.5992008,0.651603155,0.65094449,0.660393775,25.18359375,25.171875,25.1875,0.5363169999999999,0.5281765,0.5472045,0.5635776,0.5538120999999999,0.5756289499999999,0.535164285,0.528074705,0.54650865,24.32421875,24.31640625,24.33203125,network,92.251818,91.6953565,93.704208,95.52001785,93.53026354999999,98.4938873,0.6796419,0.67724673,0.684076405,25.18359375,25.1796875,25.1875
synthetic,4096,archive,0.1769045,0.175202,0.177961,0.18159495,0.18003965,0.18305345,0.17660826500000001,0.175275425,0.177494625,22.1015625,21.8828125,22.1640625,0.553463,0.5498705,0.5570930000000001,0.5804726,0.5778624,0.58535315,0.553557995,0.549862215,0.55624017,24.33203125,24.32421875,24.3359375,archive_retrieval,1.694003,1.6763240000000001,1.7000635,1.7620556499999998,1.73614035,1.7997492499999996,0.592034395,0.590544235,0.596440005,24.60546875,24.59375,24.609375,0.5525835,0.543454,0.5602130000000001,0.5852491,0.5795488000000001,0.6133319999999998,0.556865175,0.54402841,0.559801525,24.33203125,24.3125,24.3359375,archive_retrieval,1.6942490000000001,1.682733,1.6960105,1.7533822000000001,1.7394280999999998,1.8226158499999998,0.589590175,0.585224395,0.59375478,24.6015625,24.59375,24.61328125
synthetic,4096,full,0.1761565,0.17534,0.182262,0.18167694999999995,0.17966715,0.206813,0.175918795,0.17497286,0.18664414,22.1015625,21.94921875,22.1484375,0.551491,0.5475095000000001,0.5580005,0.58378655,0.57463075,0.6049243999999999,0.55454509,0.547360835,0.561657985,24.328125,24.328125,24.33203125,network,4.039517,4.009513999999999,4.0644145,4.1178099999999995,4.1128165999999995,4.19096335,0.645840815,0.63556359,0.648575995,25.19140625,25.1875,25.19140625,0.553281,0.5507605,0.560103,0.5804935,0.5753587499999999,0.6050360999999997,0.552566295,0.550669375,0.56397742,24.33203125,24.32421875,24.3359375,network,15.156509,14.226049,15.435777999999999,17.815185849999995,15.64265865,19.334221449999998,0.685698605,0.682923915,0.688017295,25.1796875,25.17578125,25.18359375
synthetic,4096,leaf,5.285394,5.264419,5.3066455,5.3388652,5.3077235,5.36590095,5.27137588,5.25003643,5.296227615,24.5,24.33984375,24.59765625,22.281820500000002,22.0997285,23.199097000000002,22.645118250000003,22.40213585,23.52604655,22.27685924,22.09319554,23.2089478,26.07421875,26.0703125,26.08203125,network,67.068322,66.24228550000001,67.128984,69.219188,68.50174285,69.3460984,22.713162045,22.636150165,23.496229505,27.26171875,27.25390625,27.28515625,22.59988,22.567595,22.864462,22.9639271,22.89026595,23.360174400000002,22.583349545,22.550444355,22.89125547,26.078125,26.0703125,26.078125,network,73.598046,71.5136555,74.074247,79.22766499999999,75.79602955,79.5401266,22.939107965,22.8763893,23.344875245,27.00390625,26.99609375,27.50390625
synthetic,4096,ext_cached,0.177541,0.1766565,0.178633,0.1826347,0.1811206,0.1988121,0.177848975,0.176522395,0.179329835,21.94140625,21.83984375,22.14453125,0.5536110000000001,0.5502594999999999,0.5587225,0.58401415,0.57960285,0.6007106,0.55401122,0.552542395,0.557953855,24.328125,24.31640625,24.3359375,network,4.056991,4.0013555,4.0672755,4.196791399999999,4.12691375,7.997532049999999,0.64340665,0.637102125,0.64940866,25.1953125,25.19140625,25.203125,0.556917,0.5511115,0.559187,0.5937863,0.58041155,0.60680835,0.55915896,0.55346077,0.562362175,24.33203125,24.33203125,24.3359375,network,14.876126,13.953402,15.1303915,17.398618849999995,15.481258599999997,18.0272647,0.68256414,0.680540535,0.683635935,25.18359375,25.17578125,25.1953125
synthetic,4096,ext_rebuild,0.175943,0.17500749999999998,0.180687,0.18245445,0.17943195,0.20166524999999996,0.176184925,0.17482206,0.181838645,21.98828125,21.7734375,22.078125,0.557898,0.5564724999999999,0.5601659999999999,0.5874451999999999,0.5809105,0.6005488999999999,0.557466355,0.554826565,0.563001275,24.33203125,24.32421875,24.3359375,network,602.5021295,600.4415035,605.2180145,604.46719175,602.962291,607.33124015,0.716016545,0.714205105,0.72153162,25.19140625,25.19140625,25.19921875,0.554944,0.5500185,0.563259,0.5923917,0.57845505,0.6181074999999999,0.557472125,0.55128444,0.56618946,24.328125,24.328125,24.33203125,network,624.705676,622.3533335,625.7452000000001,628.8757111,628.6536113999999,629.74352175,0.72801617,0.724972195,0.729685975,25.19140625,25.1875,25.19140625
