pi_run,n,scheme,trials,pi_trial_median_ms,hpc_trial_median_ms,paired_ratio_median,paired_ratio_min,paired_ratio_max
Pi_Ethernet,512,B1_verified,5,0.3941515,0.130378,3.0053920139900905,2.993309411250973,3.0764624451212277
Pi_Ethernet,512,B2_full,5,0.3943185,0.130302,3.0261891605654556,2.984598405793267,3.067337476340939
Pi_Ethernet,512,B3_leaf,5,2.665674,0.644543,4.143605661276766,4.086745120200975,4.16116901626114
Pi_Ethernet,512,B4_ext,5,0.392606,0.12860149999999998,3.032227229277618,2.9882898277154704,3.0704955454188396
Pi_Ethernet,4096,B1_verified,5,0.40571650000000004,0.1313765,3.0881968997499554,3.0816177394124162,3.0937386663408937
Pi_Ethernet,4096,B2_full,5,0.4092445,0.13111850000000003,3.108795843262763,3.0446286979569055,3.1211804588978667
Pi_Ethernet,4096,B3_leaf,5,18.935928,4.1356865,4.581193510556163,4.492937517767308,4.605228447413653
Pi_Ethernet,4096,B4_ext,5,0.40713299999999997,0.13339600000000001,3.0730697437637873,3.0196513600077197,3.102757656239878
Pi_WiFi,512,B1_verified,5,0.393308,0.130378,3.0004141803064934,2.98978944770367,3.0619546731005025
Pi_WiFi,512,B2_full,5,0.393049,0.130302,3.0164464091111416,2.9733240608807066,3.07101520740054
Pi_WiFi,512,B3_leaf,5,2.69054,0.644543,4.171604174821217,4.155199924438495,4.217229127998913
Pi_WiFi,512,B4_ext,5,0.392633,0.12860149999999998,3.029109849593258,2.988495336101354,3.059404785515125
Pi_WiFi,4096,B1_verified,5,0.4065305,0.1313765,3.094581273288498,3.0849794053095216,3.102786505358077
Pi_WiFi,4096,B2_full,5,0.4073175,0.13111850000000003,3.1064838295129973,3.054346982304516,3.1120946326547037
Pi_WiFi,4096,B3_leaf,5,18.685561,4.1356865,4.544339050776022,4.440830252072768,4.598507268383743
Pi_WiFi,4096,B4_ext,5,0.4072715,0.13339600000000001,3.0798187351944586,3.023017513648324,3.0949978317023965
