run,raw_file,phase,timestamp_utc,temp_C,throttled,active_low_bits,rss_MiB,ru_maxrss_MiB
HPC,0000-synthetic-n512-full-t2-local.json,telemetry_before,2026-09-15T18:53:25.080651+00:00,50.0,,,21.67578125,106.27734375
HPC,0000-synthetic-n512-full-t2-local.json,telemetry_after,2026-09-15T18:53:28.414161+00:00,50.0,,,22.05078125,106.27734375
HPC,0000-synthetic-n512-full-t2-memory_pressure.json,telemetry_before,2026-09-15T18:53:28.707864+00:00,51.0,,,85.9296875,106.27734375
HPC,0000-synthetic-n512-full-t2-memory_pressure.json,telemetry_after,2026-09-15T18:53:32.037777+00:00,50.0,,,85.9296875,106.27734375
HPC,0001-synthetic-n4096-ext_cached-t1-local.json,telemetry_before,2026-09-15T18:53:51.521076+00:00,52.0,,,21.625,113.71484375
HPC,0001-synthetic-n4096-ext_cached-t1-local.json,telemetry_after,2026-09-15T18:53:54.868967+00:00,49.0,,,21.94140625,113.71484375
HPC,0001-synthetic-n4096-ext_cached-t1-memory_pressure.json,telemetry_before,2026-09-15T18:53:55.142149+00:00,50.0,,,85.7109375,113.71484375
HPC,0001-synthetic-n4096-ext_cached-t1-memory_pressure.json,telemetry_after,2026-09-15T18:53:58.490407+00:00,49.0,,,85.7109375,113.71484375
HPC,0002-ethereum_rpc_finalized_json-n69-full-t3-local.json,telemetry_before,2026-09-15T18:53:59.695279+00:00,49.0,,,21.47265625,137.66796875
HPC,0002-ethereum_rpc_finalized_json-n69-full-t3-local.json,telemetry_after,2026-09-15T18:54:04.198662+00:00,50.0,,,24.625,137.66796875
HPC,0002-ethereum_rpc_finalized_json-n69-full-t3-memory_pressure.json,telemetry_before,2026-09-15T18:54:04.480672+00:00,50.0,,,85.703125,137.66796875
HPC,0002-ethereum_rpc_finalized_json-n69-full-t3-memory_pressure.json,telemetry_after,2026-09-15T18:54:08.967484+00:00,49.0,,,88.671875,137.66796875
HPC,0003-synthetic-n4096-full-t3-local.json,telemetry_before,2026-09-15T18:54:27.584622+00:00,52.0,,,21.7265625,137.66796875
HPC,0003-synthetic-n4096-full-t3-local.json,telemetry_after,2026-09-15T18:54:30.916534+00:00,52.0,,,22.1015625,137.66796875
HPC,0003-synthetic-n4096-full-t3-memory_pressure.json,telemetry_before,2026-09-15T18:54:31.191617+00:00,52.0,,,85.84765625,137.66796875
HPC,0003-synthetic-n4096-full-t3-memory_pressure.json,telemetry_after,2026-09-15T18:54:34.534533+00:00,51.0,,,85.84765625,137.66796875
HPC,0004-ethereum_rpc_finalized_json-n69-ext_cached-t3-local.json,telemetry_before,2026-09-15T18:54:35.695156+00:00,52.0,,,21.625,137.66796875
HPC,0004-ethereum_rpc_finalized_json-n69-ext_cached-t3-local.json,telemetry_after,2026-09-15T18:54:40.203794+00:00,51.0,,,24.78515625,137.66796875
HPC,0004-ethereum_rpc_finalized_json-n69-ext_cached-t3-memory_pressure.json,telemetry_before,2026-09-15T18:54:40.470937+00:00,51.0,,,85.8125,137.66796875
HPC,0004-ethereum_rpc_finalized_json-n69-ext_cached-t3-memory_pressure.json,telemetry_after,2026-09-15T18:54:44.965804+00:00,51.0,,,88.72265625,137.66796875
HPC,0005-ethereum_rpc_finalized_json-n69-ext_cached-t2-local.json,telemetry_before,2026-09-15T18:54:46.126430+00:00,51.0,,,21.62890625,137.66796875
HPC,0005-ethereum_rpc_finalized_json-n69-ext_cached-t2-local.json,telemetry_after,2026-09-15T18:54:50.660245+00:00,47.0,,,24.5703125,137.66796875
HPC,0005-ethereum_rpc_finalized_json-n69-ext_cached-t2-memory_pressure.json,telemetry_before,2026-09-15T18:54:50.932478+00:00,50.0,,,86.01171875,137.66796875
HPC,0005-ethereum_rpc_finalized_json-n69-ext_cached-t2-memory_pressure.json,telemetry_after,2026-09-15T18:54:55.431682+00:00,50.0,,,88.7578125,137.66796875
HPC,0006-ethereum_rpc_finalized_json-n69-ext_rebuild-t1-local.json,telemetry_before,2026-09-15T18:54:59.417885+00:00,47.0,,,21.7109375,138.73046875
HPC,0006-ethereum_rpc_finalized_json-n69-ext_rebuild-t1-local.json,telemetry_after,2026-09-15T18:55:03.823950+00:00,48.0,,,25.140625,138.73046875
HPC,0006-ethereum_rpc_finalized_json-n69-ext_rebuild-t1-memory_pressure.json,telemetry_before,2026-09-15T18:55:04.094330+00:00,46.0,,,86.0234375,138.73046875
HPC,0006-ethereum_rpc_finalized_json-n69-ext_rebuild-t1-memory_pressure.json,telemetry_after,2026-09-15T18:55:08.498882+00:00,49.0,,,89.26171875,138.73046875
HPC,0007-ethereum_rpc_finalized_json-n69-ext_cached-t1-local.json,telemetry_before,2026-09-15T18:55:09.698723+00:00,50.0,,,21.81640625,138.73046875
HPC,0007-ethereum_rpc_finalized_json-n69-ext_cached-t1-local.json,telemetry_after,2026-09-15T18:55:14.111102+00:00,49.0,,,25.2421875,138.73046875
HPC,0007-ethereum_rpc_finalized_json-n69-ext_cached-t1-memory_pressure.json,telemetry_before,2026-09-15T18:55:14.394043+00:00,52.0,,,85.921875,138.73046875
HPC,0007-ethereum_rpc_finalized_json-n69-ext_cached-t1-memory_pressure.json,telemetry_after,2026-09-15T18:55:18.769448+00:00,51.0,,,89.109375,138.73046875
HPC,0008-ethereum_rpc_finalized_json-n69-ext_rebuild-t0-local.json,telemetry_before,2026-09-15T18:55:22.747325+00:00,51.0,,,21.46484375,138.73046875
HPC,0008-ethereum_rpc_finalized_json-n69-ext_rebuild-t0-local.json,telemetry_after,2026-09-15T18:55:27.227066+00:00,51.0,,,24.6875,138.73046875
HPC,0008-ethereum_rpc_finalized_json-n69-ext_rebuild-t0-memory_pressure.json,telemetry_before,2026-09-15T18:55:27.499070+00:00,51.0,,,85.859375,138.73046875
HPC,0008-ethereum_rpc_finalized_json-n69-ext_rebuild-t0-memory_pressure.json,telemetry_after,2026-09-15T18:55:31.945298+00:00,51.0,,,88.76171875,138.73046875
HPC,0009-ethereum_rpc_finalized_json-n69-full-t4-local.json,telemetry_before,2026-09-15T18:55:33.103862+00:00,51.0,,,21.68359375,138.73046875
HPC,0009-ethereum_rpc_finalized_json-n69-full-t4-local.json,telemetry_after,2026-09-15T18:55:37.623411+00:00,51.0,,,26.9140625,138.73046875
HPC,0009-ethereum_rpc_finalized_json-n69-full-t4-memory_pressure.json,telemetry_before,2026-09-15T18:55:37.906319+00:00,51.0,,,85.59765625,138.73046875
