run,transition,clean_repeats,n,opaque_block_bytes,migration_wall_ms_median,migration_wall_ms_min,migration_wall_ms_max,migration_wall_ms_count,migration_wall_ms_missing,migration_cpu_ms_median,migration_cpu_ms_min,migration_cpu_ms_max,migration_cpu_ms_count,migration_cpu_ms_missing,case_wall_ms_median,case_wall_ms_min,case_wall_ms_max,case_wall_ms_count,case_wall_ms_missing,temporary_disk_bytes_median,temporary_disk_bytes_min,temporary_disk_bytes_max,temporary_disk_bytes_count,temporary_disk_bytes_missing,target_serialized_bytes_median,target_serialized_bytes_min,target_serialized_bytes_max,target_serialized_bytes_count,target_serialized_bytes_missing,metadata_bytes_written_median,metadata_bytes_written_min,metadata_bytes_written_max,metadata_bytes_written_count,metadata_bytes_written_missing,write_amplification_median,write_amplification_min,write_amplification_max,write_amplification_count,write_amplification_missing,logical_io_bytes_read_median,logical_io_bytes_read_min,logical_io_bytes_read_max,logical_io_bytes_read_count,logical_io_bytes_read_missing,logical_io_bytes_written_median,logical_io_bytes_written_min,logical_io_bytes_written_max,logical_io_bytes_written_count,logical_io_bytes_written_missing,hash_calls_leaf_median,hash_calls_leaf_min,hash_calls_leaf_max,hash_calls_leaf_count,hash_calls_leaf_missing,hash_calls_internal_median,hash_calls_internal_min,hash_calls_internal_max,hash_calls_internal_count,hash_calls_internal_missing,hash_calls_total_median,hash_calls_total_min,hash_calls_total_max,hash_calls_total_count,hash_calls_total_missing,filesystem,fixture_teardown_policy
Pi_Ethernet2,ext->full,5,512,2048,102.971077,97.979781,105.192137,5,0,74.323668,74.180405,75.061593,5,0,278.730601,273.583604,282.425454,5,0,33411,33411,33411,5,0,32768,32768,32768,5,0,1526,1526,1526,5,0,1.04656982421875,1.04656982421875,1.04656982421875,5,0,1120683,1120683,1120683,5,0,32768,32768,32768,5,0,512,512,512,5,0,1533,1533,1533,5,0,2045,2045,2045,5,0,ext4,prepatch cleanup
Pi_Ethernet2,ext->leaf,5,512,2048,100.987812,96.916742,136.698529,5,0,73.645463,73.16387,74.25663,5,0,346.651867,344.343698,383.02939,5,0,17091,17091,17091,5,0,16448,16448,16448,5,0,1526,1526,1526,5,0,1.0927772373540856,1.0927772373540856,1.0927772373540856,5,0,1104363,1104363,1104363,5,0,16448,16448,16448,5,0,512,512,512,5,0,1533,1533,1533,5,0,2045,2045,2045,5,0,ext4,prepatch cleanup
Pi_Ethernet2,full->ext,5,512,2048,50.80607,44.795658,54.022004,5,0,20.195704,19.915815,20.872685,5,0,226.878008,221.961191,230.345142,5,0,1067,1067,1067,5,0,424,424,424,5,0,1525,1525,1525,5,0,4.596698113207547,4.596698113207547,4.596698113207547,5,0,65960,65960,65960,5,0,424,424,424,5,0,0,0,0,5,0,1022,1022,1022,5,0,1022,1022,1022,5,0,ext4,prepatch cleanup
Pi_Ethernet2,full->leaf,5,512,2048,49.083375,44.836437,51.022846,5,0,18.986537,18.959259,19.050149,5,0,293.463415,289.895801,296.984308,5,0,17094,17094,17094,5,0,16448,16448,16448,5,0,1530,1530,1530,5,0,1.0930204280155642,1.0930204280155642,1.0930204280155642,5,0,49216,49216,49216,5,0,16448,16448,16448,5,0,0,0,0,5,0,1022,1022,1022,5,0,1022,1022,1022,5,0,ext4,prepatch cleanup
Pi_Ethernet2,leaf->ext,5,512,2048,48.369068,45.12519,51.539226,5,0,19.656908,19.530759,20.190871,5,0,293.524469,290.253722,297.683335,5,0,1067,1067,1067,5,0,424,424,424,5,0,1525,1525,1525,5,0,4.596698113207547,4.596698113207547,4.596698113207547,5,0,49640,49640,49640,5,0,424,424,424,5,0,0,0,0,5,0,1022,1022,1022,5,0,1022,1022,1022,5,0,ext4,prepatch cleanup
Pi_Ethernet2,leaf->full,5,512,2048,49.301612,47.539934,50.14771,5,0,19.757277,19.526795,20.530167,5,0,295.247752,292.215981,299.062975,5,0,33414,33414,33414,5,0,32768,32768,32768,5,0,1530,1530,1530,5,0,1.04669189453125,1.04669189453125,1.04669189453125,5,0,49216,49216,49216,5,0,32768,32768,32768,5,0,0,0,0,5,0,1022,1022,1022,5,0,1022,1022,1022,5,0,ext4,prepatch cleanup
Pi_WiFi,ext->full,5,512,2048,100.463938,99.918483,103.734773,5,0,74.067761,73.870573,74.305314,5,0,276.104182,274.571151,280.257004,5,0,33401,33401,33401,5,0,32768,32768,32768,5,0,1506,1506,1506,5,0,1.04595947265625,1.04595947265625,1.04595947265625,5,0,1120678,1120678,1120678,5,0,32768,32768,32768,5,0,512,512,512,5,0,1533,1533,1533,5,0,2045,2045,2045,5,0,ext4,prepatch cleanup
Pi_WiFi,ext->leaf,5,512,2048,99.605321,93.922469,106.644079,5,0,73.501165,73.068017,76.102575,5,0,345.884152,340.1688,354.798583,5,0,17081,17081,17081,5,0,16448,16448,16448,5,0,1506,1506,1506,5,0,1.0915612840466926,1.0915612840466926,1.0915612840466926,5,0,1104358,1104358,1104358,5,0,16448,16448,16448,5,0,512,512,512,5,0,1533,1533,1533,5,0,2045,2045,2045,5,0,ext4,prepatch cleanup
Pi_WiFi,full->ext,5,512,2048,47.440496,44.611893,50.465706,5,0,20.095388,19.978202,20.237425,5,0,224.045449,220.124697,227.359599,5,0,1052,1052,1052,5,0,419,419,419,5,0,1505,1505,1505,5,0,4.591885441527446,4.591885441527446,4.591885441527446,5,0,65955,65955,65955,5,0,419,419,419,5,0,0,0,0,5,0,1022,1022,1022,5,0,1022,1022,1022,5,0,ext4,prepatch cleanup
Pi_WiFi,full->leaf,5,512,2048,47.970784,40.894416,53.79093,5,0,18.919686,18.853461,19.06976,5,0,292.275556,287.030288,299.362294,5,0,17084,17084,17084,5,0,16448,16448,16448,5,0,1510,1510,1510,5,0,1.0918044747081712,1.0918044747081712,1.0918044747081712,5,0,49216,49216,49216,5,0,16448,16448,16448,5,0,0,0,0,5,0,1022,1022,1022,5,0,1022,1022,1022,5,0,ext4,prepatch cleanup
